               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.7451,               1.366,              1.7144,             0.44139,             0.34711,             0.36008,             0.21817,                   0,                   0,                   0,            0.070714,            0.003254,            0.003254
                   1,              1.7927,              1.4061,              1.7495,             0.45698,             0.35038,             0.35572,             0.21332,                   0,                   0,                   0,            0.040649,           0.0065221,           0.0065221
                   2,              1.8008,              1.3909,              1.7461,             0.48952,             0.33613,             0.32806,             0.20028,                   0,                   0,                   0,            0.010518,           0.0097242,           0.0097242
                   3,              1.7948,              1.4348,              1.7562,             0.45665,              0.3121,             0.32446,             0.19615,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              1.8094,              1.4026,              1.7275,             0.46781,             0.34294,             0.35927,             0.21897,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              1.7913,              1.3947,               1.739,             0.42258,             0.35099,             0.34379,             0.20651,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              1.7616,              1.3657,              1.7144,             0.43386,             0.32792,             0.33596,             0.20104,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,               1.783,              1.3646,              1.7227,             0.43889,              0.3296,             0.34406,              0.2105,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              1.7691,              1.3632,              1.7075,             0.44984,             0.31403,             0.32551,             0.20335,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              1.7261,              1.3295,              1.6824,             0.49336,             0.36648,             0.34227,             0.20905,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              1.8036,              1.3665,              1.7089,             0.54401,             0.30941,             0.35141,             0.21571,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              1.7181,               1.331,              1.7252,             0.50531,             0.33348,             0.35909,             0.22037,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              1.7624,               1.323,              1.7173,             0.49925,             0.35626,              0.3508,             0.21674,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              1.7463,              1.3429,              1.7214,             0.48175,             0.30077,             0.31237,             0.19091,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,              1.7907,              1.3561,              1.7195,             0.48052,             0.33365,             0.34192,             0.21142,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,               1.755,              1.3406,              1.7186,             0.47552,             0.29983,              0.3252,              0.2022,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              1.7712,              1.3186,              1.6961,             0.52874,             0.34754,              0.3739,             0.22887,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              1.7677,              1.3346,              1.7125,              0.5251,             0.34496,             0.37363,             0.23117,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              1.7335,              1.3162,              1.6939,             0.52316,              0.3034,             0.33746,             0.20567,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,               1.763,              1.3136,              1.6713,             0.56351,             0.35522,             0.37998,             0.23299,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              1.7504,               1.304,              1.6889,             0.49634,             0.29767,             0.32369,             0.19986,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              1.7438,              1.3072,               1.687,             0.51858,             0.35996,             0.37372,             0.22918,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              1.7153,              1.2965,              1.6789,             0.54342,             0.33318,             0.36447,             0.22537,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
